iso3,m49,country_name,official_name,capital_city,latitude,longitude,un_region,un_subregion,independent,un_member,income_group,wb_region
REU,638,Réunion,Réunion Island,Saint-Denis,-21.15,55.5,Africa,Eastern Africa,False,False,,
ROU,642,Romania,Romania,Bucharest,46,25,Europe,Southeast Europe,True,True,High income,Europe & Central Asia
RUS,643,Russia,Russian Federation,Moscow,60,100,Europe,Eastern Europe,True,True,High income,Europe & Central Asia
RWA,646,Rwanda,Republic of Rwanda,Kigali,-2,30,Africa,Eastern Africa,True,True,Low income,Sub-Saharan Africa 
SAU,682,Saudi Arabia,Kingdom of Saudi Arabia,Riyadh,25,45,Asia,Western Asia,True,True,High income,"Middle East, North Africa, Afghanistan & Pakistan"
SDN,729,Sudan,Republic of the Sudan,Khartoum,15,30,Africa,Northern Africa,True,True,Low income,Sub-Saharan Africa 
SEN,686,Senegal,Republic of Senegal,Dakar,14,-14,Africa,Western Africa,True,True,Lower middle income,Sub-Saharan Africa 
SGP,702,Singapore,Republic of Singapore,Singapore,1.36666666,103.8,Asia,South-Eastern Asia,True,True,High income,East Asia & Pacific
SGS,239,South Georgia,South Georgia and the South Sandwich Islands,King Edward Point,-54.5,-37,Antarctic,,False,False,,
SHN,654,"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",Jamestown,-15.95,-5.72,Africa,Western Africa,False,False,,
SJM,744,Svalbard and Jan Mayen,Svalbard og Jan Mayen,Longyearbyen,78,20,Europe,Northern Europe,False,False,,
SLB,090,Solomon Islands,Solomon Islands,Honiara,-8,159,Oceania,Melanesia,True,True,Lower middle income,East Asia & Pacific
SLE,694,Sierra Leone,Republic of Sierra Leone,Freetown,8.5,-11.5,Africa,Western Africa,True,True,Low income,Sub-Saharan Africa 
SLV,222,El Salvador,Republic of El Salvador,San Salvador,13.83333333,-88.91666666,Americas,Central America,True,True,Upper middle income,Latin America & Caribbean 
SMR,674,San Marino,Most Serene Republic of San Marino,City of San Marino,43.76666666,12.41666666,Europe,Southern Europe,True,True,High income,Europe & Central Asia
SOM,706,Somalia,Federal Republic of Somalia,Mogadishu,10,49,Africa,Eastern Africa,True,True,Low income,Sub-Saharan Africa 
SPM,666,Saint Pierre and Miquelon,Saint Pierre and Miquelon,Saint-Pierre,46.83333333,-56.33333333,Americas,North America,False,False,,
SRB,688,Serbia,Republic of Serbia,Belgrade,44,21,Europe,Southeast Europe,True,True,Upper middle income,Europe & Central Asia
SSD,728,South Sudan,Republic of South Sudan,Juba,7,30,Africa,Middle Africa,True,True,Low income,Sub-Saharan Africa 
STP,678,São Tomé and Príncipe,Democratic Republic of São Tomé and Príncipe,São Tomé,1,7,Africa,Middle Africa,True,True,Lower middle income,Sub-Saharan Africa 
SUR,740,Suriname,Republic of Suriname,Paramaribo,4,-56,Americas,South America,True,True,Upper middle income,Latin America & Caribbean 
SVK,703,Slovakia,Slovak Republic,Bratislava,48.66666666,19.5,Europe,Central Europe,True,True,High income,Europe & Central Asia
SVN,705,Slovenia,Republic of Slovenia,Ljubljana,46.11666666,14.81666666,Europe,Central Europe,True,True,High income,Europe & Central Asia
SWE,752,Sweden,Kingdom of Sweden,Stockholm,62,15,Europe,Northern Europe,True,True,High income,Europe & Central Asia
SWZ,748,Eswatini,Kingdom of Eswatini,Lobamba,-26.5,31.5,Africa,Southern Africa,True,True,Lower middle income,Sub-Saharan Africa 
SXM,534,Sint Maarten,Sint Maarten,Philipsburg,18.033333,-63.05,Americas,Caribbean,False,False,High income,Latin America & Caribbean 
SYC,690,Seychelles,Republic of Seychelles,Victoria,-4.58333333,55.66666666,Africa,Eastern Africa,True,True,High income,Sub-Saharan Africa 
SYR,760,Syria,Syrian Arab Republic,Damascus,35,38,Asia,Western Asia,True,True,Low income,"Middle East, North Africa, Afghanistan & Pakistan"
